loss,categorical_accuracy,val_loss,val_categorical_accuracy
[0.11706466227769852],[0.9597724676132202],[0.6420454382896423],[0.8648858666419983]
[0.12375034391880035],[0.9583317637443542],[0.6283420324325562],[0.8656601309776306]
[0.11499999463558197],[0.9615165591239929],[0.688667356967926],[0.8617886900901794]
[0.11388807743787766],[0.9614028334617615],[0.7146472334861755],[0.8641115427017212]
[0.11368762701749802],[0.9615544676780701],[0.6650290489196777],[0.8722416162490845]
[0.12695658206939697],[0.957952618598938],[0.688527524471283],[0.8691444396972656]
[0.10940565913915634],[0.96128910779953],[0.6449575424194336],[0.8722416162490845]
[0.11492220312356949],[0.9598104357719421],[0.626065731048584],[0.8718544840812683]
[0.10756120830774307],[0.9639431238174438],[0.6850115060806274],[0.8598529100418091]
[0.11196182668209076],[0.9611374139785767],[0.6625235676765442],[0.8641115427017212]
[0.11478262394666672],[0.9614786505699158],[0.6473019123077393],[0.8714673519134521]
